Slice,Mean,StdDev,Min,Max
1,3813.235,234.178,3449,4526
2,3781.841,287.280,3306,4619
3,3771.625,282.248,3307,4562
4,3781.906,284.727,3308,4704
5,3734.727,272.482,3290,4541
6,3741.901,266.829,3291,4523
7,3741.876,276.543,3301,4635
8,3713.239,264.756,3289,4594
9,3689.401,255.068,3282,4547
10,3650.771,241.467,3260,4402
11,3610.329,234.003,3243,4366
12,3582.240,225.033,3227,4250
13,3437.344,219.559,3073,4085
14,3395.427,204.329,3066,4072
15,3373.852,194.166,3054,4039
16,3360.651,190.171,3047,3989
17,3327.465,178.892,3037,3884
18,3308.704,178.591,3025,3930
19,3166.307,154.432,2929,3633
20,3252.215,161.754,2990,3708
21,3092.672,173.065,2815,3596
22,3111.855,165.363,2847,3631
23,3090.382,157.015,2841,3668
24,3062.491,148.194,2818,3520
25,3057.919,143.446,2821,3542
26,3022.198,134.153,2805,3494
27,3021.230,129.885,2811,3450
28,3012.502,127.139,2808,3370
29,2956.219,136.678,2719,3373
30,2965.579,137.889,2741,3394
31,2959.122,131.173,2735,3367
32,2956.389,123.128,2754,3367
33,2929.638,121.746,2733,3324
34,2901.764,114.463,2716,3228
35,2873.010,120.088,2686,3229
36,2856.142,114.925,2678,3207
37,2850.798,104.958,2684,3169
38,2836.090,109.361,2666,3225
39,2792.776,127.263,2582,3134
40,2784.407,124.415,2578,3123
41,2754.460,116.204,2562,3123
42,2745.631,114.989,2557,3145
43,2735.831,109.345,2556,3087
44,2716.536,103.283,2549,3012
45,2681.733,117.518,2485,3063
46,2644.579,107.209,2469,2951
47,2641.382,102.016,2470,2915
48,2612.295,99.369,2452,2916
49,2596.907,91.680,2452,2923
50,2314.090,67.752,2212,2534
51,2336.717,67.635,2237,2642
52,2324.360,65.378,2228,2587
53,2316.535,63.024,2225,2556
54,2299.851,58.505,2216,2516
55,2289.187,57.178,2205,2494
56,2275.886,52.924,2200,2452
57,2244.396,57.076,2157,2450
58,2232.539,58.595,2149,2438
59,2223.543,58.033,2141,2453
60,2214.268,54.062,2138,2413
61,2211.388,53.204,2137,2423
62,2203.485,53.463,2131,2387
63,2193.512,51.763,2123,2391
64,2185.747,50.253,2120,2413
65,2145.552,48.972,2076,2330
66,2134.125,48.295,2065,2343
67,2132.492,49.136,2067,2344
68,2132.715,52.430,2061,2314
69,2124.735,47.384,2060,2315
70,2109.412,45.617,2047,2292
71,2115.389,47.672,2049,2295
72,2105.899,45.166,2045,2286
73,2096.054,41.714,2040,2257
74,2084.599,44.298,2020,2259
75,2080.893,42.844,2020,2239
76,2071.216,43.224,2012,2242
77,2063.792,41.437,2006,2224
78,2057.047,38.054,2005,2202
79,2054.882,37.459,2002,2216
80,2043.192,38.077,1994,2228
81,2038.523,39.893,1982,2194
82,2026.419,38.203,1975,2174
83,2021.481,36.450,1973,2172
84,2017.642,35.626,1968,2144
85,2007.420,34.736,1962,2174
86,2007.044,33.293,1964,2142
87,1996.899,30.773,1956,2126
88,1996.251,33.454,1954,2160
89,1982.502,33.847,1938,2104
90,1980.450,34.482,1935,2101
91,1977.901,32.629,1935,2106
92,1975.195,31.395,1934,2103
93,1972.550,29.053,1934,2087
94,1965.739,27.788,1929,2093
95,1962.022,29.378,1924,2083
96,1959.311,29.290,1922,2105
97,1943.964,30.225,1906,2072
98,1941.393,30.001,1904,2076
99,1939.693,27.956,1904,2067
100,1921.848,26.102,1889,2028
101,1930.060,28.177,1895,2075
102,1923.650,26.549,1891,2040
103,1922.014,25.015,1891,2028
